distance_m,dist_from_center_m,hour_sin,hour_cos,day_sin,day_cos,city_id,weather,season,multiplier
12197.36413664855,6035.150572451474,-0.0653596438411698,-0.9978617724699926,-0.7818314824680299,0.6234898018587334,zurich,rain,spring,1.8809388025173108
739.8220147032108,5696.163489900945,-0.3545962425398622,-0.9350195210671333,-0.7818314824680299,0.6234898018587334,london,rain,spring,2.6619989714160255
3208.714523762228,3623.6656529021525,-0.683251986350137,-0.7301826642344997,-0.433883739117558,-0.9009688679024191,mumbai,clear,autumn,3.1962107759751186
9996.12688070855,6478.466902232436,-0.6081876933821542,0.7937932536992833,0.0,1.0,hyderabad,fog,spring,2.2281032973932833
5948.510543157462,2980.6902532237873,-0.8504647020124432,0.5260321193909039,-0.9749279121818236,-0.2225209339563146,rio,rain,winter,2.312662813279769
14745.99844038605,3131.925784898736,-0.9786086185884374,0.20573082322401332,0.0,1.0,reykjavik,clear,summer,1.887270037207577
10148.369493254684,9087.105301734246,-0.8930630967483802,-0.4499314450293436,0.7818314824680298,0.6234898018587336,mumbai,clear,winter,4.130568264999765
14369.959176573495,4110.56717410908,-0.6771089850124278,-0.7358827504537934,-0.433883739117558,-0.9009688679024191,singapore,clear,summer,1.771002390739297
3420.9739838640103,616.7960752693422,-0.46811384370795767,0.8836681669772662,0.43388373911755823,-0.900968867902419,zurich,fog,winter,2.0818006254426975
13027.376907667835,4124.12743073977,0.9357638793525378,0.35262722824406106,-0.7818314824680299,0.6234898018587334,sydney,snow,autumn,2.2446523919573274
5159.608434320768,7662.866494399427,0.935942818425402,0.35215201353664727,0.0,1.0,tokyo,rain,winter,1.802463754679038
14848.689719448199,9767.827040127868,-0.10992460727900541,0.9939399281216931,0.0,1.0,zurich,clear,spring,1.0895684892210982
2786.485745060636,11543.240176708336,-0.3278322052153508,-0.9447359658781072,-0.433883739117558,-0.9009688679024191,rio,snow,spring,2.6462439522205603
7986.927373155735,8954.64505769971,0.10427350833037674,-0.994548659171825,0.43388373911755823,-0.900968867902419,rio,clear,spring,1.754433929188138
11996.245740638267,5146.219313002042,-0.8068125221609725,0.5908075440312608,0.0,1.0,reykjavik,fog,spring,1.30676574892775
6773.31596875852,3589.4313504594916,-0.809873233105932,0.5866049320441695,0.0,1.0,singapore,clear,summer,1.8342009380637156
